index,bin start,count
0,0.000,1
1,1.312,0
2,2.625,0
3,3.938,1
4,5.250,0
5,6.562,0
6,7.875,0
7,9.188,0
8,10.500,0
9,11.812,2
10,13.125,0
11,14.438,0
12,15.750,2
13,17.062,1
14,18.375,1
15,19.688,0
16,21.000,5
17,22.312,1
18,23.625,2
19,24.938,5
20,26.250,1
21,27.562,2
22,28.875,3
23,30.188,1
24,31.500,5
25,32.812,13
26,34.125,3
27,35.438,6
28,36.750,16
29,38.062,7
30,39.375,7
31,40.688,9
32,42.000,30
33,43.312,12
34,44.625,14
35,45.938,33
36,47.250,35
37,48.562,30
38,49.875,74
39,51.188,48
40,52.500,57
41,53.812,189
42,55.125,82
43,56.438,188
44,57.750,355
45,59.062,120
46,60.375,263
47,61.688,274
48,63.000,722
49,64.312,339
50,65.625,733
51,66.938,1458
52,68.250,704
53,69.562,1634
54,70.875,2750
55,72.188,2251
56,73.500,2719
57,74.812,5907
58,76.125,6205
59,77.438,3870
60,78.750,16178
61,80.062,16709
62,81.375,11578
63,82.688,25029
64,84.000,152386
65,85.312,384896
66,86.625,309512
67,87.938,1423238
68,89.250,1447195
69,90.562,923992
70,91.875,4255445
71,93.188,3521235
72,94.500,5850071
73,95.812,30716130
74,97.125,23514349
75,98.438,88303159
76,99.750,273635729
77,101.062,122232046
78,102.375,203239004
79,103.688,153713609
80,105.000,235557550
81,106.312,67383492
82,107.625,41469300
83,108.938,46802863
84,110.250,9604894
85,111.562,7863551
86,112.875,8916586
87,114.188,2555532
88,115.500,2324825
89,116.812,3410350
90,118.125,1084625
91,119.438,1021528
92,120.750,968168
93,122.062,241456
94,123.375,204980
95,124.688,119765
96,126.000,227951
97,127.312,94820
98,128.625,64739
99,129.938,109115
100,131.250,34393
101,132.562,35221
102,133.875,52000
103,135.188,21656
104,136.500,16131
105,137.812,26647
106,139.125,7243
107,140.438,11453
108,141.750,13191
109,143.062,3928
110,144.375,5033
111,145.688,3145
112,147.000,6210
113,148.312,1612
114,149.625,2560
115,150.938,3185
116,152.250,825
117,153.562,1175
118,154.875,1372
119,156.188,572
120,157.500,444
121,158.812,835
122,160.125,376
123,161.438,205
124,162.750,429
125,164.062,161
126,165.375,127
127,166.688,121
128,168.000,207
129,169.312,91
130,170.625,80
131,171.938,91
132,173.250,39
133,174.562,53
134,175.875,68
135,177.188,28
136,178.500,28
137,179.812,60
138,181.125,14
139,182.438,20
140,183.750,32
141,185.062,13
142,186.375,9
143,187.688,7
144,189.000,18
145,190.312,7
146,191.625,8
147,192.938,16
148,194.250,1
149,195.562,7
150,196.875,7
151,198.188,5
152,199.500,1
153,200.812,6
154,202.125,0
155,203.438,4
156,204.750,1
157,206.062,2
158,207.375,3
159,208.688,1
160,210.000,2
161,211.312,0
162,212.625,1
163,213.938,3
164,215.250,1
165,216.562,0
166,217.875,1
167,219.188,3
168,220.500,1
169,221.812,3
170,223.125,1
171,224.438,0
172,225.750,1
173,227.062,3
174,228.375,2
175,229.688,1
176,231.000,2
177,232.312,0
178,233.625,0
179,234.938,0
180,236.250,0
181,237.562,1
182,238.875,3
183,240.188,0
184,241.500,1
185,242.812,0
186,244.125,1
187,245.438,0
188,246.750,2
189,248.062,0
190,249.375,2
191,250.688,1
192,252.000,1
193,253.312,3
194,254.625,0
195,255.938,1
196,257.250,0
197,258.562,1
198,259.875,1
199,261.188,0
200,262.500,0
201,263.812,0
202,265.125,0
203,266.438,0
204,267.750,1
205,269.062,0
206,270.375,0
207,271.688,0
208,273.000,1
209,274.312,0
210,275.625,0
211,276.938,0
212,278.250,0
213,279.562,0
214,280.875,0
215,282.188,0
216,283.500,0
217,284.812,1
218,286.125,0
219,287.438,0
220,288.750,1
221,290.062,0
222,291.375,1
223,292.688,0
224,294.000,0
225,295.312,0
226,296.625,0
227,297.938,1
228,299.250,0
229,300.562,0
230,301.875,1
231,303.188,0
232,304.500,1
233,305.812,0
234,307.125,1
235,308.438,0
236,309.750,0
237,311.062,0
238,312.375,0
239,313.688,0
240,315.000,0
241,316.312,0
242,317.625,0
243,318.938,0
244,320.250,0
245,321.562,0
246,322.875,0
247,324.188,0
248,325.500,0
249,326.812,0
250,328.125,0
251,329.438,0
252,330.750,0
253,332.062,0
254,333.375,0
255,334.688,1
