index,bin start,count
0,9.000,2
1,11.406,0
2,13.812,0
3,16.219,0
4,18.625,1
5,21.031,1
6,23.438,1
7,25.844,1
8,28.250,1
9,30.656,3
10,33.062,3
11,35.469,5
12,37.875,7
13,40.281,3
14,42.688,27
15,45.094,19
16,47.500,40
17,49.906,87
18,52.312,77
19,54.719,182
20,57.125,151
21,59.531,219
22,61.938,408
23,64.344,481
24,66.750,1047
25,69.156,1196
26,71.562,1808
27,73.969,3914
28,76.375,4884
29,78.781,15964
30,81.188,22200
31,83.594,57402
32,86.000,722251
33,88.406,924453
34,90.812,2355342
35,93.219,4073669
36,95.625,22441767
37,98.031,70658684
38,100.438,156695582
39,102.844,264863456
40,105.250,74059509
41,107.656,33749848
42,110.062,7098466
43,112.469,3327127
44,114.875,2647174
45,117.281,1221914
46,119.688,818373
47,122.094,166611
48,124.500,111888
49,126.906,112748
50,129.312,60098
51,131.719,65444
52,134.125,35786
53,136.531,32472
54,138.938,45085
55,141.344,22865
56,143.750,27604
57,146.156,18519
58,148.562,16719
59,150.969,21451
60,153.375,14271
61,155.781,18110
62,158.188,12195
63,160.594,11418
64,163.000,15940
65,165.406,9653
66,167.812,14410
67,170.219,8629
68,172.625,12595
69,175.031,8215
70,177.438,7609
71,179.844,11183
72,182.250,6954
73,184.656,10203
74,187.062,6576
75,189.469,6548
76,191.875,9095
77,194.281,5878
78,196.688,8598
79,199.094,5575
80,201.500,5563
81,203.906,8041
82,206.312,5219
83,208.719,7382
84,211.125,4897
85,213.531,4817
86,215.938,6995
87,218.344,4459
88,220.750,6800
89,223.156,4412
90,225.562,4290
91,227.969,6191
92,230.375,4224
93,232.781,6079
94,235.188,4010
95,237.594,3860
96,240.000,5698
97,242.406,3834
98,244.812,5442
99,247.219,3548
100,249.625,5126
101,252.031,3355
102,254.438,3331
103,256.844,4923
104,259.250,3229
105,261.656,4775
106,264.062,3079
107,266.469,3062
108,268.875,4478
109,271.281,3010
110,273.688,4213
111,276.094,2889
112,278.500,2967
113,280.906,4139
114,283.312,2678
115,285.719,3925
116,288.125,2617
117,290.531,2590
118,292.938,3835
119,295.344,2542
120,297.750,3727
121,300.156,2352
122,302.562,2324
123,304.969,3529
124,307.375,2297
125,309.781,3308
126,312.188,2164
127,314.594,2203
128,317.000,3214
129,319.406,2019
130,321.812,3048
131,324.219,1959
132,326.625,2930
133,329.031,1978
134,331.438,1764
135,333.844,2724
136,336.250,1720
137,338.656,2456
138,341.062,1568
139,343.469,1606
140,345.875,2266
141,348.281,1503
142,350.688,2188
143,353.094,1363
144,355.500,1334
145,357.906,1861
146,360.312,1244
147,362.719,1746
148,365.125,1095
149,367.531,1092
150,369.938,1494
151,372.344,978
152,374.750,1433
153,377.156,863
154,379.562,856
155,381.969,1224
156,384.375,741
157,386.781,1119
158,389.188,655
159,391.594,614
160,394.000,920
161,396.406,578
162,398.812,821
163,401.219,477
164,403.625,716
165,406.031,444
166,408.438,412
167,410.844,590
168,413.250,366
169,415.656,498
170,418.062,303
171,420.469,283
172,422.875,413
173,425.281,236
174,427.688,375
175,430.094,218
176,432.500,213
177,434.906,266
178,437.312,201
179,439.719,227
180,442.125,134
181,444.531,150
182,446.938,184
183,449.344,126
184,451.750,160
185,454.156,104
186,456.562,96
187,458.969,165
188,461.375,86
189,463.781,126
190,466.188,80
191,468.594,67
192,471.000,102
193,473.406,67
194,475.812,96
195,478.219,70
196,480.625,70
197,483.031,56
198,485.438,43
199,487.844,51
200,490.250,40
201,492.656,73
202,495.062,39
203,497.469,30
204,499.875,39
205,502.281,32
206,504.688,33
207,507.094,25
208,509.500,20
209,511.906,28
210,514.312,20
211,516.719,35
212,519.125,13
213,521.531,14
214,523.938,21
215,526.344,18
216,528.750,24
217,531.156,5
218,533.562,10
219,535.969,15
220,538.375,4
221,540.781,15
222,543.188,6
223,545.594,6
224,548.000,7
225,550.406,5
226,552.812,6
227,555.219,4
228,557.625,3
229,560.031,3
230,562.438,4
231,564.844,4
232,567.250,0
233,569.656,3
234,572.062,2
235,574.469,4
236,576.875,3
237,579.281,1
238,581.688,4
239,584.094,3
240,586.500,1
241,588.906,4
242,591.312,0
243,593.719,0
244,596.125,1
245,598.531,1
246,600.938,0
247,603.344,1
248,605.750,0
249,608.156,0
250,610.562,0
251,612.969,1
252,615.375,0
253,617.781,1
254,620.188,1
255,622.594,1
