 ,Area,Mean,StdDev,Min,Max,Median
1,100,103.120,3.125,92,112,103
2,100,102.770,3.481,92,116,103
3,100,103.070,2.840,94,116,103
4,100,103.110,2.835,93,111,103
5,100,103.590,3.108,97,116,103
6,100,103.440,2.931,94,115,103
7,100,102.890,3.722,90,119,103
8,100,102.850,3.109,95,114,103
9,100,103.010,3.775,88,120,103
10,100,103.240,3.242,93,116,103
11,100,143.640,15.403,111,177,143
12,100,141.260,12.965,107,175,142
13,100,143.820,11.924,115,182,143
14,100,155.580,20.704,108,206,158
15,100,142.620,13.134,111,176,143
16,100,144.380,17.278,106,184,144
17,100,162.110,22.869,111,214,163
18,100,121.950,9.013,102,150,122
19,100,144.950,10.693,112,167,145
20,100,146.970,16.724,115,207,145
